tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000030,5.3,640,short,Rough Sea at Dover,Rough Sea at Dover,0,1895,\N,1,Documentary
tt0000030,5.3,640,short,Rough Sea at Dover,Rough Sea at Dover,0,1895,\N,1,Short
tt0000031,5.5,744,short,Jumping the Blanket,Le saut Ã  la couverture,0,1895,\N,1,Documentary
tt0000031,5.5,744,short,Jumping the Blanket,Le saut Ã  la couverture,0,1895,\N,1,Short
tt0000032,5.2,311,short,Die SerpentintÃ¤nzerin,Die SerpentintÃ¤nzerin,0,1895,\N,1,Short
tt0000033,5.6,782,short,Trick Riding,La voltige,0,1895,\N,1,Comedy
tt0000033,5.6,782,short,Trick Riding,La voltige,0,1895,\N,1,Documentary
tt0000033,5.6,782,short,Trick Riding,La voltige,0,1895,\N,1,Short
tt0000034,5.4,114,short,ArrivÃ©e d'un train gare de Vincennes,ArrivÃ©e d'un train gare de Vincennes,0,1896,\N,1,Documentary
tt0000034,5.4,114,short,ArrivÃ©e d'un train gare de Vincennes,ArrivÃ©e d'un train gare de Vincennes,0,1896,\N,1,Short
tt0000035,5.7,51,short,Watering the Flowers,L'arroseur,0,1896,\N,1,Comedy
tt0000035,5.7,51,short,Watering the Flowers,L'arroseur,0,1896,\N,1,Short
tt0000036,4.5,449,short,Awakening of Rip,Awakening of Rip,0,1896,\N,0,Drama
tt0000036,4.5,449,short,Awakening of Rip,Awakening of Rip,0,1896,\N,0,Short
tt0000037,4.6,39,short,Sea Bathing,Baignade en mer,0,1896,\N,1,Short
tt0000038,4.1,134,short,The Ball Game,The Ball Game,0,1898,\N,\N,Documentary
tt0000038,4.1,134,short,The Ball Game,The Ball Game,0,1898,\N,\N,Short
tt0000038,4.1,134,short,The Ball Game,The Ball Game,0,1898,\N,\N,Sport
tt0000039,3.9,13,short,Barnet Horse Fair,Barnet Horse Fair,0,1896,\N,\N,Short
tt0000040,4.1,34,short,Barque sortant du port de Trouville,Barque sortant du port de Trouville,0,1896,\N,\N,Documentary
tt0000040,4.1,34,short,Barque sortant du port de Trouville,Barque sortant du port de Trouville,0,1896,\N,\N,Short
tt0000041,6.6,1300,short,Bataille de neige,Bataille de neige,0,1897,\N,1,Action
tt0000041,6.6,1300,short,Bataille de neige,Bataille de neige,0,1897,\N,1,Comedy
tt0000041,6.6,1300,short,Bataille de neige,Bataille de neige,0,1897,\N,1,Documentary
tt0000042,4.5,19,short,Bateau-mouche sur la Seine,Bateau-mouche sur la Seine,0,1896,\N,\N,Documentary
tt0000042,4.5,19,short,Bateau-mouche sur la Seine,Bateau-mouche sur la Seine,0,1896,\N,\N,Short
tt0000043,4.0,11,short,Batteuse Ã  vapeur,Batteuse Ã  vapeur,0,1896,\N,\N,Documentary
tt0000043,4.0,11,short,Batteuse Ã  vapeur,Batteuse Ã  vapeur,0,1896,\N,\N,Short
tt0000044,4.6,25,short,Le bivouac,Le bivouac,0,1896,\N,1,Short
tt0000045,4.4,16,short,Les blanchisseuses,Les blanchisseuses,0,1896,\N,\N,Short
tt0000046,4.2,16,short,Bois de Boulogne,Bois de Boulogne,0,1896,\N,\N,Documentary
tt0000046,4.2,16,short,Bois de Boulogne,Bois de Boulogne,0,1896,\N,\N,Short
tt0000047,3.6,14,short,Boulevard des Italiens,Boulevard des Italiens,0,1896,\N,\N,Documentary
tt0000047,3.6,14,short,Boulevard des Italiens,Boulevard des Italiens,0,1896,\N,\N,Short
tt0000048,4.9,111,short,The Boxing Kangaroo,The Boxing Kangaroo,0,1896,\N,\N,Short
tt0000049,5.4,22,short,"Boxing Match; or, Glove Contest","Boxing Match; or, Glove Contest",0,1896,\N,\N,Short
tt0000049,5.4,22,short,"Boxing Match; or, Glove Contest","Boxing Match; or, Glove Contest",0,1896,\N,\N,Sport
tt0000050,4.2,14,short,BÃ©bÃ© et fillettes,BÃ©bÃ© et fillettes,0,1896,\N,\N,Documentary
tt0000050,4.2,14,short,BÃ©bÃ© et fillettes,BÃ©bÃ© et fillettes,0,1896,\N,\N,Short
tt0000051,3.9,12,short,The Bohemian Encampment,Campement de bohÃ©miens,0,1896,\N,\N,Documentary
tt0000051,3.9,12,short,The Bohemian Encampment,Campement de bohÃ©miens,0,1896,\N,\N,Short
tt0000052,4.5,48,short,Carga de rurales,Carga de rurales,0,1896,\N,1,Documentary
tt0000052,4.5,48,short,Carga de rurales,Carga de rurales,0,1896,\N,1,Short
tt0000053,2.8,8,short,A Chegada do Comboio Inaugural Ã  EstaÃ§Ã£o Central do Porto,A Chegada do Comboio Inaugural Ã  EstaÃ§Ã£o Central do Porto,0,1897,\N,\N,Documentary
tt0000053,2.8,8,short,A Chegada do Comboio Inaugural Ã  EstaÃ§Ã£o Central do Porto,A Chegada do Comboio Inaugural Ã  EstaÃ§Ã£o Central do Porto,0,1897,\N,\N,Short
tt0000054,5.2,17,short,A Merry-Go-Round,Les chevaux de bois,0,1896,\N,\N,Short
tt0000055,3.9,14,short,Le chiffonnier,Le chiffonnier,0,1896,\N,\N,Short
tt0000056,3.4,10,short,Uma Corrida de Touros no Campo Pequeno,Uma Corrida de Touros no Campo Pequeno,0,1896,\N,\N,Short
tt0000057,4.4,13,short,CortÃ¨ge de tzar allant Ã  Versailles,CortÃ¨ge de tzar allant Ã  Versailles,0,1896,\N,\N,Documentary
tt0000057,4.4,13,short,CortÃ¨ge de tzar allant Ã  Versailles,CortÃ¨ge de tzar allant Ã  Versailles,0,1896,\N,\N,Short
tt0000058,4.1,14,short,CortÃ¨ge de tzar au Bois de Boulogne,CortÃ¨ge de tzar au Bois de Boulogne,0,1896,\N,\N,Documentary
tt0000058,4.1,14,short,CortÃ¨ge de tzar au Bois de Boulogne,CortÃ¨ge de tzar au Bois de Boulogne,0,1896,\N,\N,Short
tt0000059,3.7,11,short,Coronation of a Village Maiden,Couronnement de la rosiÃ¨re,0,1896,\N,\N,Short
tt0000060,7.8,59,short,Dancing Darkies,Dancing Darkies,0,1896,\N,\N,Documentary
tt0000060,7.8,59,short,Dancing Darkies,Dancing Darkies,0,1896,\N,\N,Short
tt0000061,4.0,13,short,Dancing Girls,Dancing Girls,0,1896,\N,\N,Short
tt0000062,6.5,149,short,Danse serpentine,Danse serpentine,0,1896,\N,1,Short
tt0000063,3.7,10,short,Dessinateur express,Dessinateur express,0,1896,\N,\N,Short
tt0000064,3.5,11,short,Dessinateur: Chamberlain,Dessinateur: Chamberlain,0,1896,\N,\N,Short
tt0000065,3.7,11,short,Dessinateur: Reine Victoria,Dessinateur: Reine Victoria,0,1896,\N,\N,Short
